"id","title","content","post_date","post_modified","status","slug","link","image_value","user_id","member_id","rating","type","category_name"
"229","ESOPs for Cannabis Companies","<p end=""620"" start=""0"">
	By Alan Kandel &amp; Marshall Custer</p>
<p end=""620"" start=""0"">
	Employee Stock Ownership Plans (ESOPs) are gaining renewed attention in the cannabis industry as a promising tool for business succession, liquidity, and tax efficiency&mdash;particularly in light of the heavy burden imposed by Section 280E of the IRS Code. By allowing employees to become beneficial owners of the company, ESOPs offer a pathway to avoid federal income tax on corporate earnings when structured as a 100% ESOP-owned S corporation. They also offer the potential to defer capital gains taxes and deliver meaningful financial benefits to employees over time, while enabling founders to exit at fair market value.</p>
<p end=""1165"" node="""" start=""622"">
	But while the advantages are real, implementing an ESOP in the cannabis space isn&rsquo;t without serious challenges. Regulatory constraints, fair valuation requirements, existing debt obligations, and the need for cannabis-friendly financing can all complicate the path to employee ownership. Despite these hurdles, ESOPs may still offer one of the few viable exit strategies for cannabis operators in a tightening capital market. If done right, they can align ownership, incentives, and long-term company growth&mdash;but only with experienced guidance.</p>
<p end=""1165"" node="""" start=""622"">
	<a href=""https://www.cannabislawnow.com/2025/06/esops-for-cannabis-companies/"">Read the full article here.</a></p>","2025-06-27 16:41:44","2025-06-27 16:41:44","1","esops-for-cannabis-companies",,,"536","16535","0","0","Articles"
"226","Evolving Case Law and Recent Legal Actions Influence Compilation of Boards of Directors of ESOP-Owned Companies","<p>
	The unique ownership structure of a company owned by an employee stock ownership plan and trust (ESOP) expands the fiduciary duties of the board of directors of the ESOP company.<br />
	<br />
	Since the trustee of the ESOP acts on behalf of the ESOP (which is a shareholder) and the ESOP is subject to the rules under the Employee Retirement Income Security Act of 1974, the directors are subject to (1) the traditional state law duties of care and loyalty and (2) the duty to monitor the activities of the ESOP trustee and the plan administrator or ESOP committee (the ESOP committee is composed of management employees of the company that give the ESOP trustee directions to act on certain items).<br />
	<br />
	The Department of Labor and employees participating in the ESOP are the parties that commence legal actions against the directors for fiduciary duty breaches. Generally, director scrutiny focuses on the valuation of the stock of the ESOP company owned by the ESOP. Because of the expanded fiduciary duties imposed on directors and the increased fiduciary risk associated with serving as director, it is best practice to have the directors composed of the proper number and type of individuals, with certain committees established by the directors responsible for specific functions that assist the directors in carrying out its fiduciary duties.<br />
	<br />
	<strong>Board Compilation</strong><br />
	<br />
	Because of the expanded fiduciary responsibilities and the importance to minimize &quot;conflict of interest&quot; and &quot;self-interest&quot; situations (which are prevalent in ESOP companies), the compilation of the individuals serving as directors is an important part in minimizing director scrutiny. Normally, it is best practice for an ESOP company to have five directors, with at least two of the directors considered independent. To the extent there are more directors, the number of independent directors should also be proportionately increased.<br />
	<br />
	Generally, a director is considered independent if the individual: (1) is not (and has not been for the three years prior to such director&#39;s appointment) a member of the management or employee of the ESOP company; (2) does not have any close family (or similar) relationship with the former shareholders that sold to the ESOP, another shareholder (i.e., if the ESOP is a less than 100 percent owner), another director or the management of the ESOP company, (3) has no material financial relationship with or in the ESOP company, a former shareholder, current shareholders, management or other directors, and (4) does not otherwise have any direct or indirect material relationship with the ESOP company, a former shareholder, current shareholders or management that may impair such director&#39;s ability to make independent decisions on behalf of the ESOP company.<br />
	<br />
	<strong>Fiduciary Duties</strong><br />
	<br />
	Directors have two types of fiduciary duties with different standards of care:</p>
<p>
	&bull; The traditional state law corporate duties of care and loyalty, which are afforded the protections of the business judgment doctrine, and<br />
	&bull; The ERISA federal law duty to monitor (oversee) the ESOP trustee and ESOP plan committee.<br />
	<br />
	The duty to monitor is a higher standard than the state law duties of care and loyalty. It subjects the directors to a &quot;prudent man standard&quot; (and not a reasonable person standard) and does not afford directors protections under the &quot;business judgement rule.&quot;<br />
	<br />
	Under ERISA, the &quot;prudent man standard&quot; requires ERISA fiduciaries to act with the care, skill, prudence and diligence that a prudent person in such capacity and in such circumstances would act.<br />
	<br />
	The types of director actions that generally fall within the purview of the higher standard of the duty to monitor, based on case law and complaints filed in federal courts against directors, are as follows:<br />
	<br />
	&bull; The oversight of the activities of the ESOP trustee;<br />
	&bull; The oversight of the activities of the ESOP committee directing the ESOP trustee to take certain actions under the ESOP;<br />
	&bull; The oversight of the reasonableness of the financial projections and interim financial statements that are used by the ESOP trustee&#39;s valuation firm to value the stock held by the ESOP (including the ones used by ESOP investment banker in the initial transaction hired by the ESOP company);<br />
	&bull; The oversight of transactions with the former and current shareholders such as terms, components and conditions of (1) debt arrangements (including size of leverage), (2) governance rights and (3) future equity participation;<br />
	&bull; The establishment and reasonableness of management equity and other compensation arrangements that impact the ESOP;<br />
	&bull; Board procedures that address conflicts of interest and self-interested situations (such as the ESOP company leasing a building from a former shareholder at above market rate); and<br />
	&bull; The execution of engagement letters and agreements with the ESOP trustee and its valuation firm with contractual indemnifications that do not have appropriate limitations as to amounts and periods (i.e., an indefinite survival indemnification period) that could potentially cost the ESOP company millions of dollars in future indemnification obligations. Directors are becoming subject to director scrutiny because these types of contractual indemnifications are viewed as egregiously one sided, insular and incompatible with the ESOP trustee&#39;s exclusive duty owed to the ESOP and do not benefit the ESOP company or the ESOP.<br />
	<br />
	As a practical matter, directors should affirmatively demonstrate their exercise of the &quot;prudent man standard&quot; by (1) documenting their actions, (2) engaging and communicating with the ESOP trustee as may be necessary and (3) establishing committees to oversee the various activities of the ESOP company, ESOP and ESOP trustee.<br />
	<br />
	<strong>Committees</strong></p>
<p>
	As a general matter, the directors should establish certain committees and designate a chairman for each established committee. The chairman will chair all meetings of a committee and set the agenda for each such meeting. If any member of a committee is conflicted on a certain matter, such member should abstain from voting on the matter.<br />
	<br />
	It is best practice for the Directors to establish the following committees:<br />
	<br />
	<strong>Audit and corporate governance committee.</strong><br />
	<br />
	This committee should consist of at least three members comprising of two independent directors and one director that is not the chief financial officer. The committee&#39;s responsibilities should generally be as follows:</p>
<p>
	&bull; To review and recommend to the directors the internal accounting, financial controls, accounting principles and auditing practices and procedures to be employed in the preparation of the financial statements and the financial projections used as part of the valuation of the ESOP stock, and the tax status of the ESOP company and related ESOP-specific tax status compliance testing (i.e., S corporation compliance);<br />
	&bull; To make recommendations to the directors concerning the engagement of independent public accountants (which accountants will report directly to the audit and corporate governance committee) and the scope of the audit or review of the financial statements;<br />
	&bull; To make recommendations to the directors relating to the performance of the ESOP trustee, the ESOP trustee&#39;s procedures in qualifying and engaging valuation firms and the ESOP trustee&#39;s transaction and valuation processes;<br />
	&bull; To resolve any disputes between any engaged independent public accountant and management;<br />
	&bull; To address and discuss questions of possible conflicts of interest of former shareholders, current shareholders, directors, members of other committees, senior executives and related party matters; and <br />
	&bull; To discuss, monitor and advise on the directors and omissions ERISA fiduciary policy (D&amp;O insuance), the ESOP trustee&#39;s fiduciary errors and omission policy, any litigation involving the ESOP Trustee and its valuation firm, and the ESOP company&#39;s other policies purchased to minimize risk exposure.<br />
	<br />
	<strong>Compensation committee</strong><br />
	<br />
	This committee should consist of three directors with at least one independent director serving on the committee. The committee&#39;s responsibilities should generally be as follows:</p>
<p>
	&bull; To review, monitor and recommend to the board policies, practices and procedures relating to the compensation of managerial and executive level employees and related bonus plans;<br />
	&bull; To evaluate the performance of key executives and their compensation and obtain compensation studies supporting the related compensation amounts;<br />
	&bull; To oversee and monitor the ESOP company&#39;s equity incentive arrangements, such as phantom equity arrangements, stock appreciation rights arrangements, restricted stock arrangements and other employee incentive plans; and<br />
	&bull; To communicate with the ESOP trustee with respect to the ESOP company&#39;s equity incentive arrangements and review specific ESOP compliance testing relating to such arrangements.<br />
	&nbsp;<br />
	<strong>Nomination committee</strong><br />
	<br />
	This committee should consist of three members with at least two independent directors. Since ESOP trustees tend to be inactive and not involved in the operations of the ESOP company, the committee&#39;s responsibilities should generally be as follows:</p>
<p>
	&bull; To establish criteria for director membership (including experience, skill set and diversity); and<br />
	&bull; To evaluate qualifications, conduct background examinations, interview possible candidates and recommend the nominations of individuals to be considered for election as directors to the ESOP trustee and other shareholders.<br />
	&nbsp;<br />
	<strong>Conclusion</strong><br />
	<br />
	The unique ownership structure of an ESOP company expands the responsibilities of the directors. Because of the higher standard of duties, the directors (1) should not simply rely on the work performed by the ESOP trustee to satisfy their fiduciary obligations and (2) should recognize that the directors&#39; interests and fiduciary duties are not always aligned with the ESOP trustee.<br />
	<br />
	The directors (1) should be composed of some independent directors, (2) meet at least four times a year, (3) establish committees to function in a proper manner and (4) be aware of the information used by the ESOP trustee in the valuation of the ESOP stock and situations in which &quot;conflicts of interest&quot; and &quot;self-interest&quot; may arise.<br />
	<br />
	<br />
	<em>John A. Kober is a partner in the Business and Finance Practice at Morgan Lewis in Dallas.<br />
	Danby P. Kim is a partner in the New York office of Morgan Lewis who represents a diverse clientele of private and public companies.</em><br />
	&nbsp;</p>
","2023-09-22 19:54:07","2023-09-22 19:56:42","1","evolving-case-law-and-recent-legal-actions-influence-compilation-of-boards-of-directors-of-esop-owned-companies",,,"115","9220","0","0","Articles"
"222","ESOP/Family Succession","<div class=""content"">
	<p>
		Over the next 10 years, over 50% of the privately held, family owned or ESOP&nbsp; businesses will be changing ownership.</p>
	<p>
		Are you one of them?</p>
	<p>
		What is your Plan?</p>
	<p>
		If you have the financial picture figured out, what about the organizational and management plan?&nbsp; Did you know that the most important value driver in most businesses and industries is management&#39;s capapcity to deliver on a promise?&nbsp; That means your company&#39;s value and worth is not what the balance sheet says it is,&nbsp; but is aligned to the future growth in revenues and profits that management promises to banks and to valuation experts.&nbsp; If your management team cannot live without the owner or CEO, then the value of the company drops like a lead balloon.</p>
	<p>
		We have entered into many companies where the finances and legal documents are all in place, but the business is&nbsp; declining or running into the ground due to lack of bench strength.&nbsp; We help companies avoid declines by engaging the management teams to improve performance and higher stock values. We are not financial advisors who sell financial products or business brokers who counsel owners in buying or selling businesses. We are Certified Managment Consultants, advising owners, boards, and C-Level executives on strategy, succession, and family or ESOP ownership issues.</p>
	<p>
		We know that no privately held, or family business is the same. We help tailor our approaches to each business, and apply common sense to the development of the next generation of managers and leaders. No family owned business is the same. While some companies have family members in the business, others do not. So what are the choices? Our approach is to develop choices to choose from while increasing the value of the company that leads to a successful economic transition from one owner to another. We are results oriented, with deadlines and milestones.</p>
	<p>
		The next generation of management isn&#39;t always the most obvious people. In some cases, the family members aren&#39;t capable to run the business. In other cases, they are capable but are not ready. Our approach is to develop as many people as possible, knowing that the &quot;cream&quot; will rise to the top, naturally. Our systems, tools and approaches enable competent people to develop the needed skills to successfully transition from one leader to the next. In some cases, an ESOP is developed to reward those people who helped build value for the owners.</p>
	<p>
		We have witnessed the difficulty of a singular CEO transitioning to a sibling partnership. If it was easy, more and more businesses would survive the transition. But it is NOT easy. We strive to improve the communication between family members in and out of the business as the transition unfolds. In some cases our goal is to develop the management team and create communications systems that reduce conflict. We are NOT family psychologists or therapists, nor do we provide family therapy. We are seasoned management consultants with clients who want to grow their business value and develop their next generation of management to provide a secure exit plan.</p>
</div>
<p>
</p>","2022-08-03 16:20:20","2022-08-03 16:20:20","1","esop-family-succession",,,"42","563","0","0","Articles"
"221","Valuation Considerations During Times of Financial Uncertainty","<p>
	As the country focuses its attention on COVID-19, and with most of the nation under strict &ldquo;stay-at-home&rdquo; orders allowing only essential businesses to operate, many private companies in a variety of industries are suffering the economic impact of the current public health crisis.</p>
<h3>
	Valuation Summary</h3>
<p>
	Although it may be difficult to determine the short- and long-term impact on the value of a private business, one fact will not change &ndash; company value will still be determined using these three commonly accepted valuation approaches:</p>
<ul>
	<li>
		<strong>Income approaches</strong> rely on earnings or cash flow generated by a company</li>
	<li>
		<strong>Market approaches</strong> rely on public stock market data and transaction data</li>
	<li>
		<strong>Asset approaches</strong> rely on values of the underlying assets of the company</li>
</ul>
<p>
	Read more at the source <a href=""https://www.ksmcpa.com/insights/valuation-considerations-during-times-of-financial-uncertainty/"">here</a>.</p>
","2021-12-21 20:11:06","2021-12-21 20:11:06","1","valuation-considerations-during-times-of-financial-uncertainty",,,"472","16485","0","0","Articles"
"220","Valuation Considerations During Times of Financial Uncertainty","<p>
	As the country focuses its attention on COVID-19, and with most of the nation under strict &ldquo;stay-at-home&rdquo; orders allowing only essential businesses to operate, many private companies in a variety of industries are suffering the economic impact of the current public health crisis.</p>
<h3>
	Valuation Summary</h3>
<p>
	Although it may be difficult to determine the short- and long-term impact on the value of a private business, one fact will not change &ndash; company value will still be determined using these three commonly accepted valuation approaches:</p>
<ul>
	<li>
		<strong>Income approaches</strong> rely on earnings or cash flow generated by a company</li>
	<li>
		<strong>Market approaches</strong> rely on public stock market data and transaction data</li>
	<li>
		<strong>Asset approaches</strong> rely on values of the underlying assets of the company</li>
</ul>
<p>
	Read more at the source <a href=""https://www.ksmcpa.com/insights/valuation-considerations-during-times-of-financial-uncertainty/"">here</a>.</p>
","2021-12-21 20:10:34","2021-12-21 20:10:34","1","valuation-considerations-during-times-of-financial-uncertainty",,,"472","16483","0","0","Articles"
"219","Exploring Unique Alternatives to a Traditional ESOP Structure","<p>
	KSM&rsquo;s&nbsp;<a href=""https://www.ksmcpa.com/people/mark-flinchum/"">Mark Flinchum</a> and <a href=""https://www.ksmcpa.com/people/andy-manchir/"">Andy Manchir</a> with the firm&rsquo;s <a href=""https://www.ksmcpa.com/services/consulting/esop/"">ESOP Services Group</a> joined the National Center for Employee Ownership (NCEO) for a webinar presentation on unique alternatives to a traditional ESOP structure. This webinar discussion covered accounting treatment and other implications of often overlooked alternatives to a traditional leveraged ESOP deal structure.</p>
<p>
	Specific topics included:</p>
<ul>
	<li>
		A review of the various options for creating a non-leveraged ESOP structure</li>
	<li>
		Alternative structures for C corporations including the use of preferred shares</li>
	<li>
		How change of control could impact the balance sheet presentation</li>
	<li>
		How inside loan structures can be used to meet different company objectives</li>
</ul>
<p>
	Read more at the source <a href=""https://www.ksmcpa.com/insights/exploring-unique-alternatives-to-a-traditional-esop-structure/"">here</a>.</p>
","2021-12-21 20:09:51","2021-12-21 20:09:51","1","exploring-unique-alternatives-to-a-traditional-esop-structure",,,"472","16485","0","0","Articles"
"218","Exploring Unique Alternatives to a Traditional ESOP Structure","<p>
	KSM&rsquo;s&nbsp;<a href=""https://www.ksmcpa.com/people/mark-flinchum/"">Mark Flinchum</a> and <a href=""https://www.ksmcpa.com/people/andy-manchir/"">Andy Manchir</a> with the firm&rsquo;s <a href=""https://www.ksmcpa.com/services/consulting/esop/"">ESOP Services Group</a> joined the National Center for Employee Ownership (NCEO) for a webinar presentation on unique alternatives to a traditional ESOP structure. This webinar discussion covered accounting treatment and other implications of often overlooked alternatives to a traditional leveraged ESOP deal structure.</p>
<p>
	Specific topics included:</p>
<ul>
	<li>
		A review of the various options for creating a non-leveraged ESOP structure</li>
	<li>
		Alternative structures for C corporations including the use of preferred shares</li>
	<li>
		How change of control could impact the balance sheet presentation</li>
	<li>
		How inside loan structures can be used to meet different company objectives</li>
</ul>
<p>
	Read more at the source <a href=""https://www.ksmcpa.com/insights/exploring-unique-alternatives-to-a-traditional-esop-structure/"">here</a>.</p>
","2021-12-21 20:08:25","2021-12-21 20:08:25","1","exploring-unique-alternatives-to-a-traditional-esop-structure",,,"472","16483","0","0","Articles"
"217","Is an ESOP the Right Succession Plan for Your Trucking Company?","<p>
	What will happen to the trucking company that you&rsquo;ve spent a lifetime building when you retire? Can selling to an ESOP make the transition of your company and the start of your retirement any easier?</p>
<p>
	The use of employee stock ownership plans (ESOPs) as a succession plan for trucking companies has become an attractive alternative to selling to a third party. ESOPs offer a variety of advantages, such as reducing tax liabilities for both the shareholders and the business and fostering a culture of ownership by rewarding employees for their service and loyalty. Additionally, ESOPs play an even more important role in a succession plan: they provide a simple mechanism for transferring ownership over time, while providing more flexibility to existing owners than a third-party sale ever could.</p>
<p>
	Read more at the source <a href=""https://www.ksmcpa.com/insights/is-an-esop-the-best-succession-plan-for-your-trucking-company/"">here</a>.</p>
","2021-12-21 20:07:36","2021-12-21 20:07:36","1","is-an-esop-the-right-succession-plan-for-your-trucking-company-",,,"472","16485","0","0","Articles"
"216","Is an ESOP the Right Succession Plan for Your Trucking Company?","<p>
	What will happen to the trucking company that you&rsquo;ve spent a lifetime building when you retire? Can selling to an ESOP make the transition of your company and the start of your retirement any easier?</p>
<p>
	The use of employee stock ownership plans (ESOPs) as a succession plan for trucking companies has become an attractive alternative to selling to a third party. ESOPs offer a variety of advantages, such as reducing tax liabilities for both the shareholders and the business and fostering a culture of ownership by rewarding employees for their service and loyalty. Additionally, ESOPs play an even more important role in a succession plan: they provide a simple mechanism for transferring ownership over time, while providing more flexibility to existing owners than a third-party sale ever could.</p>
<p>
	Read more at the source <a href=""https://www.ksmcpa.com/insights/is-an-esop-the-best-succession-plan-for-your-trucking-company/"">here</a>.</p>
","2021-12-21 20:06:57","2021-12-21 20:06:57","1","is-an-esop-the-right-succession-plan-for-your-trucking-company-",,,"472","16483","0","0","Articles"
"215","How Is the Annual Price of Your ESOP Shares Determined?","<p>
	You may be fortunate to be employed at one of the 6,500 companies in the U.S. that sponsor an employee stock ownership plan (ESOP). If not, perhaps you will be in the future, since ESOPs are increasingly attractive retirement plans that exhibit bipartisan support. Outside of ESOPs, very few employees have the unique long-term benefit of equity-like incentives with their employers, since those benefits are typically reserved for those in the C-suite.</p>
<p>
	Read more at the source <a href=""https://www.ksmcpa.com/insights/how-is-the-annual-price-of-your-esop-shares-determined/"">here</a>.</p>
","2021-12-21 20:06:06","2021-12-21 20:06:06","1","how-is-the-annual-price-of-your-esop-shares-determined-",,,"472","16485","0","0","Articles"
